id;nom;email;telephone;adresse;ville;code_postal;pays;secteur_activite;taille_entreprise;statut;source_prospection;notes;created_at;updated_at;date_derniere_activite;collaborateur_id;created_by;updated_by;numero_contribuable;forme_juridique;effectif;chiffre_affaires;resultat_net;notation;risque_client;groupe_id;est_filiale;latitude;longitude;site_web;linkedin_url;date_creation_entreprise;secteur_geographique;classification_abc;nombre_missions;nombre_opportunites;chiffre_affaires_total;sigle;pays_id;secteur_activite_id;code;raison_sociale;sous_secteur_activite_id;type
c4bb70b1-b5a1-4ba3-8c15-9d237b9afc53;DHL EXPRESS;;;;;;Cameroun;Miscellaneous;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;DHL;;;;;;CLIENT
002d48d9-d80e-472c-bd6d-9cd4fa2db332;ACCESS BANK PLC;;;;;;Cameroun;Bank;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;ACCESS;;;;;;CLIENT
b72989e9-78a9-46df-9bd9-681f0600da7a;SOCIETE GENERAL CAMEROUN;;;;;;Cameroun;Bank;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;SGC;;;;;;CLIENT
0e11bba2-83b1-4278-bc35-48d7f0bf51d5;TELCAR COCOA LIMITED;;;;;;Cameroun;Miscellaneous;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;TELCAR;;;;;;CLIENT
b78e5ac8-8a41-49c5-9f18-7c740735dac4;EMRALD SECURITIES SERVICES BOURSE SA;;;;;;Cameroun;Miscellaneous;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;EMRALD;;;;;;CLIENT
f36a8c23-283f-4f16-8620-e17fe14bca07;LONGSTAR EQUIPMENT CAMEROUN;;;;;;Cameroun;Miscellaneous;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;LONGSTAR;;;;;;CLIENT
9983320a-bf4b-46b3-ad88-9c3744553ecc;AFRICA BRIGHT SECURITIES SA;;;;;;Cameroun;Other Financial services;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;ABS S.A;;;;;;CLIENT
b58341dd-dd1e-48c5-8361-5fae0ff972f9;TOTALENERGIES MARKETING CAMEROUN S.A;;;;;;Cameroun;Energy and Oil & Gas;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;TOTALENERG;;;;;;CLIENT
c1ef5bf1-bede-49cf-b30b-13edfbb6080d;ATTIJARI SECURITIES CENTRAL AFRICA;;;;;;Cameroun;Bank;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;ASCA;;;;;;CLIENT
10f50215-6350-4477-814a-c97c683a10fc;DHL GLOBAL FORWARDING CAMEROUN PLC;;;;;;Cameroun;Miscellaneous;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;DGF;;;;;;CLIENT
8ce29460-3647-44da-999e-1b1cec988f3b;KRIBI POWER DEVELOPMENT COMPANY;;;;;;Cameroun;ENR - Power & Utilities;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;KPDC;;;;;;CLIENT
2123def9-87fe-4338-84b2-85b94114d6db;HEVEA CAMEROUN S.A;;;;;;Cameroun;Industrial manufacturing;;ACTIF;;;Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);Mon Dec 08 2025 14:04:39 GMT-0500 (UTC−05:00);Mon Dec 08 2025 04:23:24 GMT-0500 (UTC−05:00);;;;;;;;;;faible;;false;;;;;;;;0;0;0.00;HEVECAM;;;;;;CLIENT
