id;name;channel;template_id;business_unit_id;division_id;status;scheduled_date;created_by;created_at;updated_at;validation_statut;date_soumission;date_validation;responsible_id;priority;description
c7cbd0a0-2611-4524-9596-109606d984a3;EB-TAX&LAW-Email-Juridique-01-25-12-Q2-01;EMAIL;e8fbe9bf-f54f-4291-a885-d61b47bdd11a;aa244e38-ccd6-43b7-9486-fe5721e2d12c;;VALIDATED;Mon Dec 08 2025 00:00:00 GMT-0500 (UTC−05:00);02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 16:58:03 GMT-0500 (UTC−05:00);Mon Dec 08 2025 18:14:48 GMT-0500 (UTC−05:00);VALIDE;Mon Dec 08 2025 18:11:16 GMT-0500 (UTC−05:00);Mon Dec 08 2025 18:14:48 GMT-0500 (UTC−05:00);d41e51cf-efb4-4543-a196-bdbd93631cd0;NORMAL;
342741a9-629b-476b-9e02-8c579f1bfac6;EB-TAX&LAW-Courrier-GeneralServices-01-25-12-Q2-01;PHYSIQUE;c06e0fd9-8fae-417e-b804-7ceb11e07e54;aa244e38-ccd6-43b7-9486-fe5721e2d12c;;VALIDATED;Mon Dec 08 2025 00:00:00 GMT-0500 (UTC−05:00);02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 18:21:32 GMT-0500 (UTC−05:00);Mon Dec 08 2025 18:24:02 GMT-0500 (UTC−05:00);VALIDE;Mon Dec 08 2025 18:22:31 GMT-0500 (UTC−05:00);Mon Dec 08 2025 18:24:02 GMT-0500 (UTC−05:00);9415dddf-0332-47d6-b5d6-67da8e07ccd4;NORMAL;
4eee8396-2978-4d54-ba90-b773bf94d80f;EB-TAX&LAW-Courrier-GeneralServices-01-25-12-Q2-02;PHYSIQUE;c06e0fd9-8fae-417e-b804-7ceb11e07e54;aa244e38-ccd6-43b7-9486-fe5721e2d12c;;VALIDATED;Mon Dec 08 2025 00:00:00 GMT-0500 (UTC−05:00);02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 18:38:10 GMT-0500 (UTC−05:00);Mon Dec 08 2025 18:45:29 GMT-0500 (UTC−05:00);VALIDE;Mon Dec 08 2025 18:38:52 GMT-0500 (UTC−05:00);Mon Dec 08 2025 18:45:29 GMT-0500 (UTC−05:00);9415dddf-0332-47d6-b5d6-67da8e07ccd4;NORMAL;
