id;user_id;action;target_type;target_id;details;created_at
6fde26cf-0ff5-4f3d-8cfd-28c5a95ac0fd;7d9678f5-29d3-4418-9eeb-11df7b837fe6;REVOKE;ROLE_PERMISSION;78b98c58-c282-489d-9d36-7584f990821e;[object Object];Sun Dec 07 2025 23:22:17 GMT-0500 (UTC−05:00)
f57f3452-b998-4fb0-82a2-55e4fe9df029;7d9678f5-29d3-4418-9eeb-11df7b837fe6;REVOKE;ROLE_PERMISSION;78b98c58-c282-489d-9d36-7584f990821e;[object Object];Sun Dec 07 2025 23:22:18 GMT-0500 (UTC−05:00)
765186b4-deec-4574-a85c-c2f1ed426a2a;7d9678f5-29d3-4418-9eeb-11df7b837fe6;REVOKE;ROLE_PERMISSION;78b98c58-c282-489d-9d36-7584f990821e;[object Object];Sun Dec 07 2025 23:22:20 GMT-0500 (UTC−05:00)
b8e870af-85ab-41b1-be2d-909e5245cea9;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;aa244e38-ccd6-43b7-9486-fe5721e2d12c;[object Object];Mon Dec 08 2025 06:24:36 GMT-0500 (UTC−05:00)
4dbe1d96-2a7c-48fe-8685-785c8a2abf09;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;0753b7de-90ab-447e-bb0e-900bc89a1173;[object Object];Mon Dec 08 2025 06:25:21 GMT-0500 (UTC−05:00)
3532b601-76ef-4f64-90fd-3615a4732ba9;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;d331bcd5-d287-4dfc-bc14-b26b42af187d;[object Object];Mon Dec 08 2025 06:25:32 GMT-0500 (UTC−05:00)
d6dcbba4-db60-43f0-a56a-1a6564a9bb8c;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;8a56d116-9c61-4b4f-9940-379100c1fff0;[object Object];Mon Dec 08 2025 06:25:42 GMT-0500 (UTC−05:00)
ef900c73-36d1-478d-9710-812f9f4e9c12;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;67ae65c9-4fca-41d4-a7f0-2fce163b66d5;[object Object];Mon Dec 08 2025 06:25:56 GMT-0500 (UTC−05:00)
10eed9ea-4c2c-4f72-83d4-7decd5a323a1;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;e84fa617-92a7-4d13-b381-2a9ddd85e6c9;[object Object];Mon Dec 08 2025 06:26:06 GMT-0500 (UTC−05:00)
83ae11cc-a512-42c4-8558-af71f20feb14;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;77c01964-b2d8-4975-8f0f-4b846d5804a8;[object Object];Mon Dec 08 2025 06:26:16 GMT-0500 (UTC−05:00)
bfe8b499-5494-4a56-869c-40e61a682220;7d9678f5-29d3-4418-9eeb-11df7b837fe6;MODIFY;BU_ACCESS;aa244e38-ccd6-43b7-9486-fe5721e2d12c;[object Object];Mon Dec 08 2025 19:37:14 GMT-0500 (UTC−05:00)
711343bc-c219-4891-a5b7-ebd8ac3f06d5;7d9678f5-29d3-4418-9eeb-11df7b837fe6;GRANT;ROLE_PERMISSION;ba3e0ea2-d904-440d-afbf-187260c26b7d;[object Object];Mon Dec 08 2025 19:44:45 GMT-0500 (UTC−05:00)
d7d4a888-8a92-4689-8b1e-6aad23658e2b;7d9678f5-29d3-4418-9eeb-11df7b837fe6;GRANT;ROLE_PERMISSION;ba3e0ea2-d904-440d-afbf-187260c26b7d;[object Object];Mon Dec 08 2025 19:45:00 GMT-0500 (UTC−05:00)
85054886-e4e0-4f42-b8da-05ed7c4d078c;7d9678f5-29d3-4418-9eeb-11df7b837fe6;GRANT;ROLE_PERMISSION;ba3e0ea2-d904-440d-afbf-187260c26b7d;[object Object];Mon Dec 08 2025 19:54:43 GMT-0500 (UTC−05:00)
971893e9-8dab-4fd4-b5e9-507e7a0b1dcb;7d9678f5-29d3-4418-9eeb-11df7b837fe6;GRANT;ROLE_PERMISSION;568c2598-4980-463c-9736-0b1e4367f85b;[object Object];Tue Dec 09 2025 03:27:09 GMT-0500 (UTC−05:00)
26ccab20-276e-4c28-b0da-a8c11236bed2;7d9678f5-29d3-4418-9eeb-11df7b837fe6;GRANT;ROLE_PERMISSION;ba3e0ea2-d904-440d-afbf-187260c26b7d;[object Object];Tue Dec 09 2025 03:27:27 GMT-0500 (UTC−05:00)
