id;name;description;created_at;updated_at
df6d2c82-f638-461a-a140-eedcb1eacd46;DGE;Entreprises de la DGE;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
5c377f21-74a4-451d-add4-48512e90d72b;CIME;entreprises CIME;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
e8985293-ee4d-4a45-8e50-2350e89aada8;CSI EPA INTER;Entreprises CSI EPA INTER;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
f8ad30f8-fe4c-4f85-8c55-bd2d4004a3a2;CSI EPA Global;Entreprises CSI EPA Global;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
24d8112c-14a3-40bd-a693-bcc66cfd391b;SOURCES -EB GROUP;Sources manuelles;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
