ROLE_NAME | ROLE_ID | PERM_CODE | PERM_ID | CATEGORY
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | divisions:create | 34c0d3fd-0dff-4bfb-b08c-a0be1c306686 | config
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | divisions:delete | 96e38483-c2a4-4c23-a7a7-452edc25fc21 | config
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | divisions:read | a6a45db2-33ee-422b-8ac2-63a8ac0c864c | config
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | divisions:update | cb1e0db4-6d4e-44ff-8170-cdad36890e9e | config
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_grades:create | d2662676-993c-4812-92c8-264300fba9be | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_grades:delete | 7026553e-1b1e-41cb-8fc6-c5fe6e841338 | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_grades:read | 63c8c7ed-f889-41db-8986-29a33e47f018 | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_grades:update | b321633e-6aa3-4e70-ae46-de2c3ccde36b | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_organisations:create | 14da7456-592d-4600-a06f-3b9ac7718891 | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_organisations:delete | 689bdc69-386e-4151-a320-d859a28d503e | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_organisations:read | d2d1a32d-74d6-4d6d-aae8-afff9124b0e1 | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_organisations:update | a4e469cf-e0ac-457a-a5de-9becd719746f | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_postes:create | e0758bc9-6b0d-46cf-b248-3993d43079f4 | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_postes:delete | 8dd89319-10d2-4a26-8be2-ec6bff2e2943 | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_postes:read | 62c750b2-2ffb-47ed-b9a2-f0a8ad52dfe7 | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | evolution_postes:update | 8a855442-b805-42f6-a9ea-e4dbc1e0f88b | hr
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | feuilles_temps:create | 16fd483f-ee65-477a-b06d-27162717251c | time
ADMIN_IT | 568c2598-4980-463c-9736-0b1e4367f85b | feuilles_temps:delete | b7f1f2fb-515c-4db1-8fe9-1c2b52036f62 | time
