Grade;Taux horaire
ASSISTANT;70 000
SUPERVISOR;90 000
SENIOR;70 000
Stagiaire;20 000
MANAGER;120 000
RESPONSABLE;120 000
DIRECTOR;180 000
PARTNER;230 000
IT;120 000
