BU OLD;DIVISION OLD;BU NEW;Division NEW
Tax;;EB-TAX&LAW;Global Tax
Legal Services;;EB-TAX&LAW;Global Legal
Audit;;EB - AUDIT;
Douane;;EB-DOUANE;
Assurance;;show off assurances;
EB Service;;EB-DOUANE;EB Service
Finances;;EXFIN EOLIS;
RH;;EB-RH;
