ID;New Name;New Sigle;Secteur;Administrateur
90597ec1-6144-456b-8118-29f939e53696;OCEAN PETROLEUM SARL;OCEAN;Energy and Oil & Gas;
68919777-849f-4783-ae9e-3a505dbe291b;PORT AUTONOME DE DOUALA;PAD;Government & public sector;Cyrus NGO'O
9f34295b-b095-411a-8857-3d67573018bb;SAMSON BILANGNA;SAB;Other industry;SAMSON BILANGNA
867156a7-81db-4df3-a2b7-10f475e49b05;SHOW OFF ASSURANCE;SOA;Insurance;
f8092efa-8423-4e44-a862-5c298d429ecb;SIGMA INC LTD;SIGMA;Other industry;
2aac4d68-4d65-4828-b5bd-4eca10ff9bb7;SITRAB-CAM;SITRAB-CAM;Other industry;
ff8bf1c2-759f-4e35-aff9-6a51ce30121c;SOCIETE ANONYME DES BOISSONS DU CAMEROUN;SABC;Industrial manufacturing;Stéphane DESCAZEAUD
ae5836fe-3144-47ed-9d0c-a57a52fc0412;SOCIETE COMMERCIALE DE BANQUE CAMEROUN S.A;SCBC;Bank;
416b6aaf-e33a-414f-8507-d8b8dc19d3f8;Societé d'Expliotation Industrielle Agricole;SEIAC;Other industry;NYANGON BITA Olga
b72989e9-78a9-46df-9bd9-681f0600da7a;SOCIETE GENERAL CAMEROUN;SGC;Bank;
0e11bba2-83b1-4278-bc35-48d7f0bf51d5;TELCAR COCOA LIMITED;TELCAR;Miscellaneous;
b58341dd-dd1e-48c5-8361-5fae0ff972f9;TOTALENERGIES MARKETING CAMEROUN S.A;TOTAL ENERG;Energy and Oil & Gas;
901895e1-3732-4916-9f8f-8ba10f487fe2;TRACTAFRIC EQUIPMENT CAMEROUN;TRACTAFRIC E;Other industry;Guy STABILE
857e1176-aff5-409e-b753-7dd6dfd12315;TSG CAMEROUN S.A;TSG;Energy and Oil & Gas;François BAFALAK
6e2d341e-edf4-433b-8ed1-8ec01cdc62ff;WEBB FONTAINE GROUP;WFG;Technology, media & telecommunications;Timothy COLLIER
